;;;;;;;;;;;;;;;;;;;;;
POS;NOME;POS;GP;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;REB;AST;STL;BLK;TO;DD2;TD3
321;Gary Trent Jr.TOR;SG;66;32.1;17.4;6.1;14.2;43.3;2.5;6.8;36.9;2.6;3.1;83.9;2.6;1.6;1.6;0.2;0.8;0;0
322;Jaylen NowellMIN;SG;65;19.3;10.8;4.3;9.6;44.8;1.0;3.6;28.9;1.2;1.5;77.8;2.6;2.0;0.6;0.1;1.0;0;0
-;Nassir LittlePOR;SF;54;18.1;6.6;2.5;5.6;44.2;1.1;2.9;36.7;0.6;0.9;71.7;2.6;0.9;0.4;0.4;0.7;0;0
-;Zeke NnajiDEN;PF;53;13.7;5.2;2.1;3.7;56.1;0.3;1.2;26.2;0.8;1.2;64.5;2.6;0.3;0.3;0.4;0.6;1;0
325;Anfernee SimonsPOR;SG;62;35.0;21.1;7.5;16.9;44.7;3.4;9.1;37.7;2.6;2.9;89.4;2.6;4.1;0.7;0.2;2.1;0;0
-;Jeff GreenDEN;PF;56;19.5;7.8;2.9;5.9;48.8;0.5;1.9;28.8;1.6;2.1;74.4;2.6;1.2;0.3;0.3;0.8;0;0
-;Isaiah RobySA;F;42;11.3;4.1;1.6;3.7;43.2;0.4;1.4;30.0;0.5;1.0;48.8;2.6;0.9;0.4;0.2;0.7;0;0
-;Omer YurtsevenMIA;C;9;9.2;4.4;1.8;3.0;59.3;0.3;0.8;42.9;0.6;0.7;83.3;2.6;0.2;0.2;0.2;0.4;0;0
329;Sam HauserBOS;SF;80;16.1;6.4;2.3;5.0;45.5;1.8;4.2;41.8;0.2;0.2;70.6;2.6;0.9;0.4;0.3;0.4;0;0
-;JaVale McGeeDAL;C;42;8.5;4.4;1.9;3.0;64.0;0.0;0.1;40.0;0.6;1.0;58.5;2.5;0.3;0.1;0.6;0.9;0;0
331;Shake MiltonPHI;SG;76;20.6;8.4;3.2;6.6;47.9;0.7;1.9;37.8;1.3;1.5;85.3;2.5;3.2;0.3;0.2;1.2;3;0
332;Dennis SchroderLAL;PG;66;30.1;12.6;4.1;9.8;41.5;1.1;3.4;32.9;3.3;3.8;85.7;2.5;4.5;0.8;0.2;1.7;2;0
332;Tyus JonesMEM;PG;80;24.2;10.3;3.9;8.9;43.8;1.5;4.1;37.1;1.0;1.2;80.6;2.5;5.2;1.0;0.1;0.9;9;1
-;Mfiondu KabengeleBOS;C;4;9.0;1.5;0.5;1.8;28.6;0.0;0.8;0.0;0.5;0.5;100.0;2.5;0.0;0.5;0.0;0.3;0;0
-;Alize JohnsonSA;F;4;7.5;1.8;0.8;1.5;50.0;0.0;0.5;0.0;0.3;0.5;50.0;2.5;0.3;0.3;0.0;1.0;0;0
-;Chris DuarteIND;SG;46;19.5;7.9;2.7;7.2;36.9;1.2;3.8;31.6;1.3;1.6;84.7;2.5;1.4;0.5;0.2;0.9;0;0
337;Jevon CarterMIL;PG;81;22.4;8.0;3.0;7.0;42.3;1.8;4.2;42.1;0.4;0.5;81.6;2.5;2.4;0.8;0.4;1.0;1;0
338;Isaac OkoroCLE;SF;76;21.8;6.4;2.3;4.7;49.4;0.8;2.3;36.3;1.0;1.4;75.7;2.5;1.1;0.7;0.4;0.6;0;0
-;Will BartonWSH/TOR;G;56;17.7;6.8;2.5;6.5;37.9;1.2;3.2;36.7;0.7;0.8;78.7;2.4;2.0;0.5;0.2;0.9;0;0
340;Terrence RossORL/PHX;G;63;21.1;8.3;3.2;7.4;43.0;1.5;4.1;36.8;0.4;0.5;79.4;2.4;1.5;0.6;0.2;0.7;0;0
-;Taurean PrinceMIN;PF;54;22.1;9.1;3.3;7.0;46.7;1.4;3.6;38.1;1.2;1.4;84.4;2.4;1.6;0.5;0.3;1.3;0;0
342;Yuta WatanabeBKN;SF;58;16.0;5.6;2.0;4.0;49.1;1.0;2.3;44.4;0.6;0.8;72.3;2.4;0.8;0.4;0.3;0.4;0;0
-;Trevelin QueenIND;SG;7;10.0;3.0;1.0;4.1;24.1;0.3;2.1;13.3;0.7;0.7;100.0;2.4;0.9;0.3;0.7;1.0;0;0
-;Bones HylandLAC/DEN;PG;56;19.4;11.8;4.1;10.2;39.9;2.1;5.6;37.1;1.5;1.8;84.3;2.4;3.1;0.7;0.3;1.5;1;0
345;Isaiah JoeOKC;SG;73;19.1;9.5;3.1;7.0;44.1;2.2;5.4;40.9;1.1;1.4;82.0;2.4;1.2;0.7;0.1;0.5;0;0
346;Derrick Jones Jr.CHI;SF;64;14.0;5.0;1.8;3.6;50.0;0.4;1.3;33.8;1.0;1.3;73.8;2.4;0.5;0.5;0.6;0.4;0;0
-;Juan Toscano-AndersonLAL/UTAH;SF;52;13.5;3.0;1.2;2.8;44.8;0.2;0.8;18.6;0.4;0.5;79.2;2.4;1.3;0.3;0.2;0.7;0;0
348;Christian BraunDEN;G;76;15.5;4.7;1.9;3.8;49.5;0.4;1.3;35.4;0.5;0.8;62.5;2.4;0.8;0.5;0.2;0.5;0;0
-;Otto Porter Jr.TOR;SF;8;18.3;5.5;1.9;3.8;50.0;0.8;2.1;35.3;1.0;1.0;100.0;2.4;1.0;1.4;0.0;0.5;0;0
350;Georges NiangPHI;SF;78;19.4;8.2;2.8;6.4;44.2;2.0;4.9;40.1;0.5;0.6;86.7;2.4;1.0;0.4;0.2;0.7;0;0
-;Jabari WalkerPOR;F;56;11.1;3.9;1.5;3.5;41.9;0.3;1.0;28.6;0.6;0.8;75.6;2.3;0.6;0.2;0.2;0.5;0;0
352;Ish WainrightPHX;F;60;15.3;4.2;1.4;3.8;37.0;1.0;2.9;32.9;0.4;0.5;83.9;2.3;0.9;0.6;0.4;0.4;0;0
353;Tre MannOKC;PG;67;17.7;7.7;2.9;7.5;39.3;1.2;3.8;31.5;0.6;0.8;76.4;2.3;1.8;0.6;0.2;0.9;1;1
-;Rodney McGruderDET;G;32;16.4;5.7;1.9;4.8;40.8;1.3;3.0;42.3;0.6;0.7;81.8;2.3;0.9;0.5;0.0;0.3;0;0
355;Jose AlvaradoNO;PG;61;21.5;9.0;3.3;8.0;41.1;1.4;4.0;33.6;1.1;1.3;81.3;2.3;3.0;1.1;0.2;1.3;0;0
-;Alex LenSAC;C;26;6.2;1.7;0.6;1.2;53.3;0.0;0.1;0.0;0.4;0.6;68.8;2.3;0.5;0.2;0.4;0.6;0;0
357;Cedi OsmanCLE;SF;77;20.1;8.7;3.1;6.9;45.1;1.5;4.1;37.2;1.0;1.4;69.4;2.3;1.5;0.5;0.1;0.7;1;0
-;Micah PotterUTAH;C;7;7.4;3.4;1.4;2.1;66.7;0.6;1.0;57.1;0.0;0.0;0.0;2.3;0.6;0.1;0.0;0.3;1;0
-;Moussa DiabateLAC;F;22;8.9;2.7;1.1;2.1;51.1;0.0;0.1;50.0;0.5;0.7;62.5;2.3;0.2;0.3;0.4;0.4;0;0
-;Luka GarzaMIN;C;28;8.7;6.5;2.3;4.1;54.3;0.5;1.4;35.9;1.5;1.9;78.8;2.3;0.6;0.1;0.1;0.5;0;0
-;Johnny DavisWSH;G;28;15.1;5.8;2.4;6.1;38.6;0.6;2.5;24.3;0.5;1.0;51.9;2.3;1.0;0.4;0.3;0.6;0;0
362;Joe HarrisBKN;SF;74;20.6;7.6;2.7;5.9;45.7;1.9;4.5;42.6;0.2;0.4;64.3;2.2;1.4;0.5;0.2;0.6;0;0
-;MarJon BeauchampMIL;F;52;13.5;5.1;1.8;4.7;39.5;0.9;2.7;33.1;0.5;0.7;73.0;2.2;0.7;0.4;0.1;0.9;0;0
-;Cameron PaynePHX;PG;48;20.2;10.3;3.9;9.4;41.5;1.4;3.9;36.8;1.0;1.3;76.6;2.2;4.5;0.7;0.2;1.7;3;0
365;JT ThorCHA;F;69;14.0;3.8;1.4;3.4;39.9;0.6;1.8;31.7;0.5;0.7;70.2;2.2;0.5;0.3;0.3;0.6;0;0
-;Cam ReddishPOR/NY;SF;40;24.8;9.7;3.5;7.8;44.6;1.1;3.6;31.3;1.6;1.9;85.3;2.2;1.4;1.0;0.4;1.2;0;0
-;Neemias QuetaSAC;C;5;5.8;2.4;1.2;1.8;66.7;0.0;0.0;0.0;0.0;0.4;0.0;2.2;0.2;0.0;0.4;0.2;0;0
-;Blake WesleySA;G;37;18.1;5.0;1.9;5.8;32.1;0.5;1.4;38.5;0.7;1.2;59.1;2.2;2.7;0.7;0.1;1.8;0;0
-;Collin SextonUTAH;PG;48;23.9;14.3;4.9;9.8;50.6;1.0;2.5;39.3;3.4;4.1;81.9;2.2;2.9;0.6;0.1;1.8;1;0
-;Wesley MatthewsMIL;SG;52;15.8;3.4;1.1;3.1;36.3;0.8;2.4;31.5;0.5;0.5;85.7;2.2;0.7;0.4;0.3;0.3;0;0
371;Doug McDermottSA;SF;64;20.5;10.2;3.7;8.2;45.7;1.9;4.7;41.3;0.8;1.1;75.7;2.2;1.4;0.2;0.1;0.9;0;0
371;Terence DavisSAC;SG;64;13.1;6.7;2.4;5.7;42.3;1.4;3.8;36.6;0.5;0.7;79.1;2.2;1.0;0.7;0.2;0.8;0;0
-;Johnny JuzangUTAH;G;18;12.9;4.8;1.9;5.8;33.7;0.8;3.5;23.8;0.1;0.2;50.0;2.2;0.4;0.2;0.2;0.2;0;0
-;Ziaire WilliamsMEM;F;37;15.2;5.7;2.3;5.3;42.9;0.7;2.6;25.8;0.5;0.6;77.3;2.1;0.9;0.4;0.2;1.0;0;0
375;Vlatko CancarDEN;SF;60;14.8;5.0;1.8;3.8;47.6;0.7;1.9;37.4;0.6;0.7;92.7;2.1;1.3;0.4;0.2;0.6;1;0
376;Gabe VincentMIA;PG;68;25.9;9.4;3.4;8.3;40.2;1.7;5.1;33.4;1.0;1.1;87.2;2.1;2.5;0.9;0.1;1.4;0;0
-;Andre IguodalaGS;F;8;14.1;2.1;0.9;1.9;46.7;0.1;1.1;11.1;0.3;0.4;66.7;2.1;2.4;0.5;0.4;1.1;0;0
377;AJ GriffinATL;F;72;19.5;8.9;3.4;7.4;46.5;1.4;3.6;39.0;0.6;0.7;89.4;2.1;1.0;0.6;0.2;0.6;0;0
-;Kenneth Lofton Jr.MEM;F;24;7.3;5.0;2.0;3.9;52.7;0.3;0.7;35.3;0.7;1.1;59.3;2.1;0.8;0.2;0.1;0.5;1;0
-;Ricky RubioCLE;PG;33;17.2;5.2;1.8;5.4;34.3;0.6;2.5;25.6;0.8;1.1;80.0;2.1;3.5;0.8;0.2;0.9;0;0
381;Reggie JacksonLAC/DEN;PG;68;24.4;10.2;3.9;9.4;41.1;1.4;4.2;33.3;1.0;1.1;91.0;2.1;3.4;0.7;0.1;1.7;1;0
-;James BouknightCHA;SG;34;15.1;5.6;2.0;5.7;35.8;1.0;3.2;30.3;0.6;0.9;66.7;2.1;1.2;0.4;0.1;0.9;0;0
-;Noah VonlehBOS;PF;23;7.5;1.1;0.5;1.0;45.8;0.0;0.2;25.0;0.1;0.1;100.0;2.1;0.3;0.1;0.3;0.5;0;0
-;Nikola JovicMIA;F;15;13.6;5.5;1.9;4.6;40.6;0.5;2.3;22.9;1.2;1.3;94.7;2.1;0.7;0.5;0.1;0.7;0;0
-;Kevon HarrisORL;G;34;13.4;4.1;1.4;3.1;43.9;0.5;1.3;37.2;0.9;1.2;75.6;2.1;0.5;0.5;0.1;0.6;0;0
386;Ochai AgbajiUTAH;G;59;20.5;7.9;2.8;6.5;42.7;1.4;3.9;35.5;0.9;1.2;81.2;2.1;1.1;0.3;0.3;0.7;0;0
-;Gary HarrisORL;SG;48;24.7;8.3;2.9;6.4;45.0;2.0;4.5;43.1;0.6;0.6;90.0;2.0;1.2;0.9;0.3;0.6;0;0
-;Markieff MorrisBKN/DAL;PF;35;10.1;3.8;1.3;3.3;40.9;0.8;2.0;39.4;0.3;0.3;100.0;2.0;0.9;0.3;0.1;0.5;1;0
-;Bryce McGowensCHA;G;46;17.1;5.3;1.7;4.4;39.6;0.6;1.7;32.5;1.3;1.7;75.0;2.0;1.2;0.3;0.1;0.9;0;0
-;Gabe YorkIND;G;3;18.7;8.0;2.7;7.0;38.1;2.0;6.0;33.3;0.7;0.7;100.0;2.0;1.7;0.7;0.0;0.0;0;0
-;Sterling BrownLAL;SF;4;6.0;0.0;0.0;1.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;2.0;0.5;0.8;0.0;0.0;0;0
-;Frank JacksonUTAH;G;1;5.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0;0
-;Isaiah ToddWSH;PF;6;10.2;1.5;0.5;3.0;16.7;0.2;1.7;10.0;0.3;0.3;100.0;2.0;0.7;0.2;0.0;0.3;0;0
394;Matisse ThybullePOR/PHI;SG;71;16.9;4.1;1.5;3.6;43.5;0.8;2.1;36.5;0.3;0.4;67.9;2.0;0.7;1.2;0.5;0.3;0;0
-;Lonnie Walker IVLAL;G;56;23.2;11.7;4.2;9.4;44.8;1.6;4.4;36.5;1.6;1.9;85.8;1.9;1.1;0.5;0.3;0.8;0;0
396;Eric GordonLAC/HOU;SG;69;28.5;12.4;4.2;9.5;44.6;1.9;5.2;37.1;2.1;2.5;82.1;1.9;2.7;0.6;0.4;1.5;0;0
-;Caleb HoustanORL;G;51;15.9;3.8;1.3;3.6;36.3;0.9;2.7;33.8;0.3;0.4;83.3;1.9;0.6;0.2;0.1;0.4;0;0
-;Boban MarjanovicHOU;C;31;5.5;3.3;1.3;1.9;68.3;0.0;0.0;0.0;0.6;0.9;74.1;1.9;0.3;0.2;0.1;0.5;0;0
-;Richaun HolmesSAC;F;42;8.3;3.1;1.3;2.1;61.8;0.1;0.2;62.5;0.4;0.5;78.9;1.9;0.2;0.1;0.3;0.3;1;0
-;Taj GibsonWSH;F;49;9.8;3.4;1.3;2.6;52.0;0.2;0.5;33.3;0.6;0.9;71.4;1.9;0.7;0.3;0.2;0.5;0;0
-;Jaden HardyDAL;G;48;14.8;8.8;3.0;6.9;43.8;1.3;3.3;40.4;1.4;1.6;82.3;1.9;1.4;0.4;0.1;1.0;0;0
-;R.J. HamptonORL/DET;PG;47;16.0;6.4;2.2;5.0;43.0;0.9;2.5;35.3;1.2;1.6;75.0;1.9;1.1;0.6;0.2;0.9;0;0
-;George HillIND/MIL;PG;46;18.1;5.0;1.7;3.6;47.0;0.7;2.1;35.8;0.9;1.2;76.4;1.8;2.4;0.6;0.1;0.7;0;0
-;Payton PritchardBOS;PG;48;13.4;5.6;2.1;5.1;41.2;1.2;3.2;36.4;0.3;0.3;75.0;1.8;1.3;0.3;0.0;0.8;1;1
-;Lindy Waters IIIOKC;F;41;13.0;5.2;1.7;4.3;39.3;1.4;4.0;35.8;0.4;0.5;80.0;1.8;0.7;0.3;0.3;0.2;0;0
-;Max ChristieLAL;G;41;12.5;3.1;1.1;2.6;41.5;0.6;1.5;41.9;0.3;0.4;87.5;1.8;0.5;0.2;0.2;0.3;0;0
-;Evan FournierNY;SG;27;17.0;6.1;2.1;6.1;33.7;1.3;4.2;30.7;0.7;0.8;85.7;1.8;1.3;0.6;0.1;0.8;0;0
-;Sam MerrillCLE;SG;5;11.8;5.0;1.8;4.4;40.9;1.0;3.6;27.8;0.4;0.4;100.0;1.8;1.0;0.8;0.0;0.0;0;0
-;Saben LeePHI/PHX;G;25;15.0;6.0;2.0;4.8;40.5;0.4;1.2;36.7;1.7;2.3;73.7;1.8;2.7;0.8;0.0;1.0;1;0
-;Jake LaRaviaMEM;F;35;11.8;3.0;1.1;2.7;38.9;0.7;2.0;33.8;0.2;0.3;77.8;1.8;0.6;0.3;0.1;0.5;0;0
-;Kemba WalkerDAL;PG;9;16.0;8.0;2.7;6.3;42.1;0.8;3.1;25.0;1.9;2.3;81.0;1.8;2.1;0.2;0.2;0.4;0;0
-;McKinley Wright IVDAL;PG;27;12.4;4.2;1.7;3.6;46.9;0.3;1.0;32.1;0.5;0.7;68.4;1.7;2.1;0.3;0.2;0.7;0;0
-;Ty JeromeGS;SG;45;18.1;6.9;2.6;5.4;48.8;0.8;2.0;38.9;0.8;0.9;92.7;1.7;3.0;0.5;0.1;0.7;0;0
-;Daishen NixHOU;SG;57;16.0;4.0;1.4;4.2;34.2;0.7;2.5;28.6;0.4;0.6;66.7;1.7;2.3;0.5;0.1;1.5;0;0
415;Nickeil Alexander-WalkerUTAH/MIN;SG;59;15.0;6.2;2.2;5.0;44.4;1.0;2.7;38.4;0.7;1.0;66.7;1.7;1.8;0.5;0.4;0.9;0;0
416;Cory JosephDET;PG;62;19.8;6.9;2.4;5.7;42.7;1.1;2.9;38.9;0.9;1.2;79.2;1.7;3.5;0.5;0.1;0.9;0;0
-;Kessler EdwardsSAC/BKN;SF;36;10.7;2.8;1.0;2.6;38.7;0.5;1.5;30.9;0.3;0.4;73.3;1.7;0.6;0.4;0.2;0.4;0;0
-;Danuel House Jr.PHI;SF;56;14.4;4.8;1.7;3.5;47.2;0.7;2.0;33.6;0.8;1.1;75.0;1.7;0.8;0.3;0.2;0.5;0;0
419;Anthony GillWSH;PF;59;10.6;3.3;1.2;2.2;53.8;0.1;0.5;13.8;0.8;1.1;73.1;1.7;0.6;0.1;0.2;0.3;0;0
-;Admiral SchofieldORL;SF;37;12.2;4.2;1.5;3.3;45.1;0.6;2.0;32.4;0.6;0.6;91.3;1.7;0.8;0.2;0.1;0.4;0;0
-;Landry ShametPHX;SG;40;20.2;8.7;2.8;7.5;37.7;1.9;5.0;37.7;1.1;1.3;88.2;1.7;2.3;0.7;0.1;0.9;0;0
422;Devonte' GrahamSA/NO;PG;73;18.3;7.4;2.2;5.9;37.4;1.6;4.6;35.2;1.3;1.8;74.8;1.7;2.7;0.6;0.2;0.7;0;0
-;James JohnsonIND;PF;18;9.0;2.8;1.2;2.7;44.9;0.2;0.8;20.0;0.2;0.4;50.0;1.7;0.8;0.4;0.3;0.4;0;0
-;Devon DotsonWSH;G;6;8.8;0.5;0.2;1.7;10.0;0.2;0.7;25.0;0.0;0.0;0.0;1.7;1.3;0.8;0.0;0.5;0;0
423;Moses MoodyGS;SG;63;13.0;4.8;1.7;3.6;47.6;0.8;2.1;36.3;0.6;0.8;69.8;1.7;0.8;0.3;0.1;0.5;0;0
-;Cam ThomasBKN;SG;57;16.6;10.6;3.5;8.0;44.1;0.9;2.3;38.3;2.6;3.1;86.8;1.7;1.4;0.4;0.1;1.1;0;0
-;Isaiah MobleyCLE;F;12;7.0;2.6;1.0;2.3;42.9;0.3;0.7;37.5;0.3;0.3;100.0;1.7;0.3;0.3;0.3;0.1;0;0
-;Josh MinottMIN;F;15;6.4;3.1;1.2;2.4;50.0;0.1;0.4;33.3;0.5;0.5;100.0;1.7;0.3;0.3;0.4;0.2;1;0
-;Svi MykhailiukNY/CHA;SG;32;14.6;6.9;2.4;5.4;44.5;1.3;3.1;42.4;0.8;1.2;66.7;1.7;1.7;0.5;0.1;0.8;0;0
-;Simone FontecchioUTAH;F;52;14.7;6.3;2.2;6.0;36.9;1.2;3.7;33.0;0.7;0.8;79.5;1.7;0.8;0.3;0.2;0.8;0;0
-;Duncan RobinsonMIA;F;42;16.4;6.4;2.1;5.6;37.1;1.5;4.6;32.8;0.7;0.8;90.6;1.6;1.1;0.3;0.0;0.7;0;0
432;Seth CurryBKN;SG;61;19.9;9.2;3.4;7.4;46.3;1.5;3.8;40.5;0.8;0.9;92.7;1.6;1.6;0.6;0.1;0.8;0;0
-;Trent ForrestATL;G;23;12.0;2.3;1.1;2.6;41.7;0.0;0.1;0.0;0.1;0.1;66.7;1.6;1.7;0.3;0.1;0.7;0;0
-;Peyton WatsonDEN;F;23;8.1;3.3;1.3;2.6;49.2;0.3;0.6;42.9;0.5;0.9;55.0;1.6;0.5;0.1;0.5;0.3;0;0
-;Dru SmithMIA/BKN;G;15;10.5;2.9;1.2;3.0;40.0;0.3;1.3;26.3;0.2;0.2;100.0;1.6;1.5;0.7;0.3;0.2;0;0
-;Justin ChampagnieBOS/TOR;SF;5;6.8;2.2;1.0;3.0;33.3;0.2;1.0;20.0;0.0;0.0;0.0;1.6;0.8;0.2;0.0;0.0;0;0
-;Austin RiversMIN;SG;52;19.5;4.9;1.8;4.0;43.5;0.8;2.4;35.0;0.6;0.8;76.9;1.6;1.4;0.5;0.1;0.4;0;0
-;Theo PinsonDAL;G;40;8.1;2.4;0.8;2.2;35.6;0.6;1.6;35.5;0.3;0.3;84.6;1.6;1.2;0.2;0.0;0.3;1;1
-;Udonis HaslemMIA;PF;7;10.3;3.9;1.4;4.1;34.5;0.4;1.3;33.3;0.6;0.7;80.0;1.6;0.0;0.1;0.3;0.1;0;0
-;Jason PrestonLAC;PG;14;8.9;2.9;1.3;2.9;43.9;0.4;1.3;27.8;0.0;0.1;0.0;1.6;1.9;0.1;0.0;0.7;0;0
441;Kendrick NunnLAL/WSH;G;70;13.8;7.1;2.7;6.4;42.4;1.1;3.2;35.4;0.5;0.6;85.4;1.6;1.3;0.4;0.1;0.9;0;0
-;Terry TaylorIND/CHI;F;31;8.5;2.9;1.3;2.4;52.0;0.2;0.6;26.3;0.2;0.4;54.5;1.5;0.3;0.1;0.2;0.3;0;0
-;Jarrell BrantleyUTAH;PF;4;9.8;5.5;2.0;3.5;57.1;1.0;2.3;44.4;0.5;0.5;100.0;1.5;0.8;0.0;0.5;0.5;0;0
-;Darius DaysHOU;F;4;6.3;3.8;1.3;3.0;41.7;0.8;2.5;30.0;0.5;0.5;100.0;1.5;0.3;0.0;0.3;0.0;0;0
-;Edmond SumnerBKN;PG;53;13.9;7.1;2.3;5.1;46.1;0.6;1.6;35.6;1.9;2.0;91.7;1.5;1.3;0.6;0.2;0.9;0;0
-;Derrick RoseNY;PG;27;12.5;5.6;2.3;5.9;38.4;0.7;2.3;30.2;0.4;0.4;91.7;1.5;1.7;0.3;0.2;0.8;0;0
-;Nathan KnightMIN;F;38;7.7;3.7;1.2;2.1;56.8;0.2;0.6;36.4;1.0;1.5;68.4;1.5;0.3;0.3;0.2;0.6;0;0
-;Dalano BantonTOR;PG;31;9.0;4.6;1.8;4.2;42.3;0.5;1.6;29.4;0.5;0.8;70.8;1.5;1.2;0.4;0.4;0.6;0;0
-;TyTy Washington Jr.HOU;G;31;14.0;4.7;1.9;5.2;36.3;0.6;2.6;23.7;0.3;0.6;55.6;1.5;1.5;0.5;0.1;0.5;0;0
-;Frank KaminskyATL/HOU;PF;36;6.5;2.5;0.9;1.8;49.2;0.4;0.9;39.4;0.4;0.4;87.5;1.4;0.9;0.2;0.1;0.3;0;0
-;Jordan McLaughlinMIN;PG;43;15.8;3.7;1.4;3.4;42.1;0.6;1.8;30.8;0.3;0.4;83.3;1.4;3.4;0.7;0.1;0.8;0;0
-;Malachi FlynnTOR;PG;53;13.0;4.6;1.6;4.6;36.0;0.9;2.5;35.3;0.5;0.6;75.8;1.4;1.3;0.4;0.1;0.5;0;0
-;A.J. LawsonMIN/DAL;G;15;7.2;3.7;1.5;2.9;50.0;0.7;1.7;40.0;0.1;0.5;25.0;1.4;0.1;0.1;0.0;0.2;0;0
454;Goran DragicCHI/MIL;PG;58;15.0;6.3;2.4;5.8;42.1;0.9;2.5;35.9;0.5;0.8;68.9;1.4;2.6;0.2;0.1;1.1;0;0
-;Robin LopezCLE;C;37;8.1;3.0;1.3;2.0;64.0;0.1;0.1;50.0;0.4;0.5;77.8;1.4;0.5;0.1;0.2;0.7;0;0
-;Davon ReedLAL/DEN;SG;43;8.0;2.1;0.7;2.0;33.3;0.4;1.1;37.0;0.4;0.6;66.7;1.4;0.5;0.3;0.1;0.5;0;0
-;Mamadi DiakiteCLE;F;22;8.0;2.6;1.1;2.3;48.0;0.3;1.0;33.3;0.1;0.1;100.0;1.4;0.4;0.2;0.4;0.5;0;0
-;Brandon Boston Jr.LAC;SG;22;11.3;6.5;2.3;5.5;41.8;0.5;1.3;41.4;1.3;1.7;76.3;1.4;0.9;0.4;0.0;0.5;0;0
-;Garrison MathewsATL/HOU;SG;54;12.7;4.8;1.4;3.7;36.3;1.2;3.3;35.0;0.9;1.0;90.6;1.4;0.5;0.4;0.1;0.4;0;0
-;Jordan HallSA;G;9;9.2;3.1;1.0;3.1;32.1;0.3;1.7;20.0;0.8;1.0;77.8;1.3;1.2;0.1;0.0;0.8;0;0
-;Kira Lewis Jr.NO;PG;25;9.4;4.6;1.6;3.5;45.5;0.6;1.4;44.1;0.8;0.9;86.4;1.3;0.9;0.4;0.1;0.4;0;0
-;Frank NtilikinaDAL;PG;47;12.9;2.9;1.0;2.8;36.4;0.4;1.4;25.4;0.5;0.7;66.7;1.3;1.2;0.3;0.1;0.6;0;0
463;Davion MitchellSAC;PG;80;18.1;5.6;2.3;5.0;45.4;0.8;2.5;32.0;0.3;0.4;80.6;1.3;2.3;0.6;0.2;0.8;0;0
-;Patrick Baldwin Jr.GS;F;31;7.3;3.9;1.4;3.5;39.5;1.0;2.7;38.1;0.1;0.2;66.7;1.3;0.4;0.2;0.1;0.4;0;0
-;AJ GreenMIL;G;35;9.9;4.4;1.5;3.6;42.4;1.3;3.0;41.9;0.1;0.1;100.0;1.3;0.6;0.2;0.0;0.3;0;0
-;Danny GreenCLE/MEM;F;11;12.6;5.5;2.0;4.5;44.9;1.5;3.4;43.2;0.1;0.1;100.0;1.3;0.5;0.5;0.3;0.9;0;0
-;David Duke Jr.BKN;G;23;9.9;3.7;1.6;3.4;46.2;0.0;0.5;8.3;0.5;0.7;70.6;1.3;0.9;0.4;0.0;0.8;0;0
-;Ish SmithDEN;PG;43;9.3;2.5;1.2;3.0;39.7;0.0;0.3;16.7;0.0;0.1;50.0;1.3;2.3;0.2;0.2;1.0;0;0
-;Khem BirchTOR;C;20;8.1;2.2;1.0;1.6;59.4;0.1;0.1;50.0;0.2;0.3;80.0;1.3;0.4;0.3;0.3;0.4;0;0
-;Michael Carter-WilliamsORL;G;4;11.0;4.3;1.5;3.5;42.9;0.3;0.8;33.3;1.0;1.8;57.1;1.3;1.8;0.3;0.3;1.0;0;0
-;Xavier SneedCHA;F;4;12.0;4.3;1.3;2.5;50.0;0.8;1.5;50.0;1.0;1.0;100.0;1.3;1.3;0.0;0.3;0.8;0;0
-;Jamaree BouyeaMIA/WSH;G;5;14.2;3.0;1.2;2.8;42.9;0.4;1.2;33.3;0.2;0.4;50.0;1.2;0.8;0.8;0.4;0.8;0;0
-;Justin HolidayATL/DAL/HOU;SF;46;15.3;4.5;1.7;4.4;37.7;1.0;3.1;32.2;0.1;0.2;62.5;1.2;0.9;0.4;0.4;0.5;0;0
-;Thanasis AntetokounmpoMIL;SF;37;5.6;1.4;0.5;1.2;43.5;0.0;0.2;0.0;0.3;0.6;50.0;1.2;0.4;0.1;0.1;0.3;0;0
-;Greg Brown IIIPOR;PF;16;5.8;1.8;0.7;1.8;39.3;0.1;0.4;14.3;0.3;0.8;41.7;1.2;0.2;0.3;0.3;0.4;0;0
-;Davis BertansDAL;SF;45;10.9;4.6;1.5;3.6;43.1;1.2;3.1;39.0;0.3;0.3;86.7;1.2;0.5;0.2;0.2;0.2;0;0
477;Aaron HolidayATL;G;63;13.4;3.9;1.5;3.5;41.8;0.6;1.4;40.9;0.4;0.5;84.4;1.2;1.4;0.6;0.2;0.6;0;0
-;Duane Washington Jr.PHX;PG;31;12.7;7.9;3.0;8.3;36.7;1.3;3.6;36.0;0.5;0.8;66.7;1.2;2.0;0.2;0.1;1.1;0;0
-;Furkan KorkmazPHI;SG;37;9.5;3.8;1.3;3.0;43.2;0.5;1.2;39.1;0.7;1.0;72.2;1.1;0.6;0.3;0.1;0.6;0;0
480;Josh ChristopherHOU;SG;64;12.3;5.8;2.4;5.1;46.5;0.3;1.4;23.6;0.7;0.9;75.0;1.1;1.1;0.5;0.2;0.9;0;0
