;;;;;;;;;;;;;;;;;;;;;
POS;NOME;POS;GP;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;REB;AST;STL;BLK;TO;DD2;TD3
-;Marvin Bagley IIIDET;PF;42;23.6;12.0;4.8;9.1;52.9;0.5;1.6;28.8;1.9;2.6;75.0;6.4;0.9;0.5;0.7;1.1;8;0
64;Nick RichardsCHA;C;65;18.7;8.2;3.0;4.8;62.9;0.0;0.0;100.0;2.1;2.8;74.9;6.4;0.6;0.2;1.1;0.9;14;0
65;Zach CollinsSA;PF;63;22.9;11.6;4.5;8.7;51.8;0.9;2.3;37.4;1.7;2.3;76.1;6.4;2.9;0.6;0.8;2.0;9;0
-;Ben SimmonsBKN;PG;42;26.3;6.9;3.2;5.6;56.6;0.0;0.0;0.0;0.6;1.4;43.9;6.3;6.1;1.3;0.6;2.3;4;1
67;Al HorfordBOS;C;63;30.5;9.8;3.6;7.6;47.6;2.3;5.2;44.6;0.2;0.3;71.4;6.2;3.0;0.5;1.0;0.6;7;0
68;Kelly OlynykUTAH;PF;68;28.6;12.5;4.1;8.2;49.9;1.4;3.5;39.4;2.9;3.4;85.3;6.2;3.7;0.9;0.5;2.5;9;0
-;Cade CunninghamDET;PG;12;33.3;19.9;7.8;18.7;41.5;1.4;5.1;27.9;3.0;3.6;83.7;6.2;6.0;0.8;0.6;3.3;3;0
-;Paul GeorgeLAC;F;56;34.6;23.8;8.2;17.9;45.7;2.8;7.6;37.1;4.6;5.3;87.1;6.1;5.1;1.5;0.4;3.1;8;1
71;James HardenPHI;SG;58;36.8;21.0;6.4;14.5;44.1;2.8;7.2;38.5;5.4;6.2;86.7;6.1;10.7;1.2;0.5;3.4;36;5
-;Stephen CurryGS;PG;56;34.7;29.4;10.0;20.2;49.3;4.9;11.4;42.7;4.6;5.0;91.5;6.1;6.3;0.9;0.4;3.2;12;1
73;Tari EasonHOU;F;82;21.5;9.3;3.6;8.0;44.8;0.7;2.1;34.3;1.3;1.8;75.2;6.0;1.1;1.2;0.6;1.2;7;0
-;Precious AchiuwaTOR;PF;55;20.7;9.2;3.6;7.3;48.5;0.5;2.0;26.9;1.6;2.3;70.2;6.0;0.9;0.6;0.5;1.1;10;0
-;James WisemanDET/GS;C;45;19.3;10.0;4.2;7.5;55.8;0.1;0.4;20.0;1.5;2.2;70.1;5.9;0.7;0.2;0.6;1.1;8;0
76;Jimmy ButlerMIA;SF;64;33.4;22.9;7.5;13.9;53.9;0.6;1.6;35.0;7.4;8.7;85.0;5.9;5.3;1.8;0.3;1.6;11;0
